# fftisdf-ning-supercell-10
# nk,    build,    get_j,    get_k,     size
   2, 5.98e+02, 1.69e+03, 5.97e+01, 5.00e+00
   4, 2.10e+03, 1.46e+01, 1.08e+01, 1.52e+01
   8, 8.71e+03, 4.71e+01, 2.55e+02, 4.77e+01
  16, 1.82e+04, 2.25e+02, 5.49e+02, 1.61e+02
  32,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan

# fftisdf-ning-supercell-20
# nk,    build,    get_j,    get_k,     size
   2, 7.22e+02, 2.67e+03, 4.98e+01, 5.71e+00
   4, 2.60e+03, 1.08e+01, 1.10e+01, 1.71e+01
   8, 1.08e+04, 4.49e+01, 5.96e+01, 5.39e+01
  16, 2.51e+04, 1.92e+02, 3.65e+02, 1.83e+02
  32,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan

# fftisdf-yang-10-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 3.67e+02, 3.33e+00, 4.30e-01, 2.38e-01
   4, 6.30e+02, 6.51e+00, 9.10e-01, 4.76e-01
   8, 1.17e+03, 1.34e+01, 1.74e+00, 9.52e-01
  16, 2.25e+03, 2.74e+01, 3.39e+00, 1.90e+00
  32, 4.49e+03, 4.76e+01, 6.68e+00, 3.81e+00
  64, 8.80e+03, 1.02e+02, 1.32e+01, 7.61e+00

# fftisdf-yang-20-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 7.78e+02, 6.61e+00, 1.83e+00, 9.09e-01
   4, 1.47e+03, 1.19e+01, 3.66e+00, 1.82e+00
   8, 2.74e+03, 2.64e+01, 7.24e+00, 3.63e+00
  16, 5.51e+03, 5.44e+01, 1.51e+01, 7.27e+00
  32, 1.09e+04, 9.62e+01, 2.85e+01, 1.45e+01
  64,      nan,      nan,      nan,      nan

# gdf
# nk,    build,    get_j,    get_k,     size
   2, 5.76e+02, 4.04e+00, 1.45e+02, 5.44e+00
   4, 1.05e+03, 9.78e+00, 5.97e+02, 2.41e+01
   8, 2.23e+03, 2.22e+01, 2.36e+03, 9.87e+01
  16, 6.98e+03, 4.59e+01, 9.52e+03, 3.97e+02
  32, 3.05e+04, 8.88e+01, 3.95e+04, 1.59e+03
  64,      nan,      nan,      nan,      nan
