# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 2.18e+00, 2.91e+01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 3.66e+00, 1.08e+02, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 7.05e+00, 1.53e+02, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 1.48e+01, 5.80e+02, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 3.02e+01, 2.53e+03, 0.00e+00, 0.00e+00, 0.00e+00
  64, 2.00e-02, 5.97e+01, 9.99e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 7.30e-01, 6.59e+00, 0.00e+00, 1.42e-05, 1.61e-04
   4, 0.00e+00, 1.12e+00, 2.72e+01, 0.00e+00, 1.41e-05, 1.64e-04
   8, 0.00e+00, 2.61e+00, 3.84e+01, 0.00e+00, 1.39e-05, 1.61e-04
  16, 0.00e+00, 4.18e+00, 1.65e+02, 0.00e+00, 1.39e-05, 1.72e-04
  32, 0.00e+00, 8.45e+00, 5.98e+02, 0.00e+00, 1.39e-05, 1.76e-04
  64, 0.00e+00, 1.63e+01, 2.62e+03, 0.00e+00, 1.39e-05, 1.77e-04

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.24e+00, 5.75e+02, 0.00e+00, 1.46e-07, 2.48e-07
   4, 0.00e+00, 2.03e+00, 2.32e+03, 0.00e+00, 1.45e-07, 2.33e-07
   8, 0.00e+00, 3.77e+00, 2.90e+03, 0.00e+00, 1.44e-07, 2.15e-07
  16, 0.00e+00, 6.95e+00, 1.16e+04, 0.00e+00, 1.44e-07, 2.27e-07
  32, 0.00e+00, 1.50e+01,      nan,      nan,      nan,      nan
  64, 1.00e-02, 2.71e+01,      nan,      nan,      nan,      nan

# fftisdf-yang-10-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.22e+00, 2.40e-01, 8.00e-02, 3.81e-02, 2.91e-02, 3.19e-02
   4, 1.14e+01, 4.20e-01, 1.40e-01, 7.61e-02, 2.78e-02, 3.46e-02
   8, 2.79e+01, 9.10e-01, 2.90e-01, 1.52e-01, 2.64e-02, 3.51e-02
  16, 4.53e+01, 1.65e+00, 5.70e-01, 3.05e-01, 2.64e-02, 3.93e-02
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-10-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.88e+00, 2.40e-01, 7.00e-02, 3.81e-02, 2.90e-02, 3.21e-02
   4, 5.09e+00, 4.50e-01, 6.00e-01, 7.61e-02, 2.77e-02, 3.48e-02
   8, 3.55e+01, 9.20e-01, 9.10e-01, 1.52e-01, 2.63e-02, 3.52e-02
  16, 6.55e+01, 1.92e+00, 7.20e-01, 3.05e-01, 2.63e-02, 3.95e-02
  32, 1.73e+02, 3.21e+00, 1.11e+00, 6.09e-01, 2.69e-02, 4.06e-02
  64, 2.01e+02, 6.40e+00, 2.19e+00, 1.22e+00, 2.63e-02, 4.11e-02

# fftisdf-yang-10-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.31e+01, 3.00e-01, 7.00e-02, 3.81e-02, 2.91e-02, 3.19e-02
   4, 6.92e+01, 4.20e-01, 1.40e-01, 7.61e-02, 2.78e-02, 3.46e-02
   8, 1.24e+02, 7.90e-01, 2.90e-01, 1.52e-01, 2.64e-02, 3.51e-02
  16, 4.37e+02, 2.08e+00, 1.23e+00, 3.05e-01, 2.64e-02, 3.93e-02
  32, 8.42e+02, 4.15e+00, 2.26e+00, 6.09e-01, 2.70e-02, 4.04e-02
  64, 1.02e+03, 6.09e+00, 2.31e+00, 1.22e+00, 2.64e-02, 4.09e-02

# fftisdf-yang-20-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.38e+01, 4.10e-01, 2.90e-01, 1.45e-01, 1.02e-03, 2.35e-03
   4, 4.39e+01, 8.40e-01, 5.40e-01, 2.91e-01, 1.15e-03, 2.61e-03
   8, 1.00e+02, 1.84e+00, 1.16e+00, 5.81e-01, 1.36e-03, 2.62e-03
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-20-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.93e+00, 4.30e-01, 2.70e-01, 1.45e-01, 1.03e-03, 2.52e-03
   4, 1.30e+01, 8.50e-01, 5.50e-01, 2.91e-01, 1.15e-03, 2.78e-03
   8, 4.11e+01, 1.62e+00, 1.07e+00, 5.81e-01, 1.37e-03, 2.79e-03
  16, 1.70e+02, 4.27e+00, 2.60e+00, 1.16e+00, 1.37e-03, 3.08e-03
  32, 1.19e+02, 6.35e+00, 4.20e+00, 2.33e+00, 1.37e-03, 3.18e-03
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-20-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.85e+01, 4.50e-01, 2.90e-01, 1.45e-01, 1.02e-03, 2.35e-03
