# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 8.60e-01, 3.30e+00, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 1.11e+00, 1.36e+01, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 3.09e+00, 5.45e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 6.44e+00, 2.38e+02, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 1.25e+01, 9.49e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 2.61e+01, 3.71e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 3.60e-01, 1.14e+00, 0.00e+00, 8.58e-06, 5.13e-05
   4, 0.00e+00, 5.60e-01, 5.32e+00, 0.00e+00, 8.52e-06, 5.51e-05
   8, 0.00e+00, 8.30e-01, 2.25e+01, 0.00e+00, 8.41e-06, 5.57e-05
  16, 0.00e+00, 1.90e+00, 8.98e+01, 0.00e+00, 8.41e-06, 6.12e-05
  32, 0.00e+00, 3.48e+00, 3.60e+02, 0.00e+00, 8.41e-06, 6.28e-05
  64, 0.00e+00, 6.87e+00, 1.44e+03, 0.00e+00, 8.41e-06, 6.28e-05

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 5.50e-01, 5.49e+01, 0.00e+00, 6.13e-08, 1.06e-07
   4, 0.00e+00, 9.60e-01, 2.26e+02, 0.00e+00, 6.09e-08, 1.04e-07
   8, 0.00e+00, 1.43e+00, 8.88e+02, 0.00e+00, 6.06e-08, 1.05e-07
  16, 0.00e+00, 3.36e+00, 3.57e+03, 0.00e+00, 6.06e-08, 1.02e-07
  32, 0.00e+00, 4.90e+00, 1.44e+04, 0.00e+00, 6.06e-08, 1.01e-07
  64, 0.00e+00, 1.27e+01,      nan,      nan,      nan,      nan

# fftisdf-yang-10-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.87e+00, 1.00e-02, 1.00e-02, 3.61e-03, 3.16e-03, 8.63e-03
   4, 3.48e+00, 1.00e-02, 1.00e-02, 7.21e-03, 2.52e-03, 8.25e-03
   8, 6.63e+00, 3.00e-02, 4.00e-02, 1.44e-02, 2.53e-03, 8.19e-03
  16, 2.40e+01, 6.00e-02, 8.00e-02, 2.88e-02, 2.51e-03, 8.83e-03
  32, 3.39e+01, 1.00e-01, 1.50e-01, 5.77e-02, 2.49e-03, 9.03e-03
  64, 5.86e+01, 2.10e-01, 3.00e-01, 1.15e-01, 2.47e-03, 9.05e-03

# fftisdf-yang-10-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.20e-01, 1.00e-02, 1.00e-02, 3.61e-03, 3.16e-03, 8.64e-03
   4, 1.84e+00, 1.00e-02, 2.00e-02, 7.21e-03, 2.52e-03, 8.26e-03
