# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.30e-01, 3.90e-01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 1.10e-01, 1.98e+00, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 1.00e-01, 7.76e+00, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 1.10e-01, 2.43e+01, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 1.40e-01, 1.05e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 2.30e-01, 3.94e+02, 0.00e+00, 0.00e+00, 0.00e+00

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.00e-01, 2.50e-01, 0.00e+00, 1.84e-07, 4.17e-06
   4, 0.00e+00, 6.00e-02, 1.15e+00, 0.00e+00, 1.80e-07, 4.98e-06
   8, 0.00e+00, 1.00e-01, 4.18e+00, 0.00e+00, 1.84e-07, 5.78e-06
  16, 0.00e+00, 6.00e-02, 1.50e+01, 0.00e+00, 1.84e-07, 4.80e-06
  32, 0.00e+00, 7.00e-02, 5.39e+01, 0.00e+00, 1.83e-07, 4.50e-06
  64, 0.00e+00, 1.20e-01, 1.95e+02, 0.00e+00, 1.83e-07, 4.21e-06

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.30e-01, 3.80e-01, 0.00e+00, 4.81e-10, 2.51e-08
   4, 0.00e+00, 1.30e-01, 1.98e+00, 0.00e+00, 5.03e-10, 2.97e-08
   8, 0.00e+00, 7.00e-02, 4.88e+00, 0.00e+00, 5.15e-10, 3.40e-08
  16, 0.00e+00, 2.10e-01, 1.79e+01, 0.00e+00, 5.14e-10, 2.79e-08
  32, 0.00e+00, 1.30e-01, 7.53e+01, 0.00e+00, 5.14e-10, 2.61e-08
  64, 0.00e+00, 1.70e-01, 2.90e+02, 0.00e+00, 5.14e-10, 2.44e-08

# fftisdf-yang-10-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.90e-01, 0.00e+00, 0.00e+00, 2.29e-04, 3.44e-12, 1.33e-10
   4, 1.02e+00, 0.00e+00, 0.00e+00, 4.55e-04, 9.77e-04, 1.22e-03
   8, 1.46e+00, 0.00e+00, 0.00e+00, 9.05e-04, 2.13e-03, 2.57e-03
  16, 2.81e+00, 0.00e+00, 0.00e+00, 1.81e-03, 2.13e-03, 2.65e-03
  32, 3.99e+00, 0.00e+00, 1.00e-02, 3.61e-03, 2.11e-03, 3.54e-03
  64, 9.30e+00, 1.00e-02, 1.00e-02, 7.21e-03, 2.01e-03, 3.29e-03

# fftisdf-yang-10-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.70e-01, 0.00e+00, 0.00e+00, 2.29e-04, 1.84e-07, 4.17e-06
   4, 6.60e-01, 0.00e+00, 0.00e+00, 4.55e-04, 9.77e-04, 1.22e-03
   8, 9.40e-01, 0.00e+00, 0.00e+00, 9.05e-04, 2.13e-03, 2.57e-03
  16, 1.35e+00, 0.00e+00, 0.00e+00, 1.81e-03, 2.13e-03, 2.65e-03
