# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 2.34e+00, 1.18e+03, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 6.32e+00, 4.72e+03, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 1.33e+01, 1.76e+04, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 2.74e+01,      nan,      nan,      nan,      nan
  32, 0.00e+00, 5.47e+01,      nan,      nan,      nan,      nan
  64, 0.00e+00, 1.11e+02,      nan,      nan,      nan,      nan

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 5.70e-01, 4.24e+00, 0.00e+00, 3.30e-01, 8.41e-02
   4, 0.00e+00, 1.03e+00, 1.55e+01, 0.00e+00, 3.30e-01, 8.62e-02
   8, 0.00e+00, 2.11e+00, 5.22e+01, 0.00e+00, 3.30e-01, 8.56e-02
  16, 0.00e+00, 3.54e+00, 2.11e+02, 0.00e+00,      nan,      nan
  32, 0.00e+00, 6.81e+00, 8.01e+02, 0.00e+00,      nan,      nan
  64, 0.00e+00, 1.35e+01, 3.44e+03, 0.00e+00,      nan,      nan

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.30e+00, 7.92e+00, 0.00e+00, 1.02e-02, 2.11e-03
   4, 0.00e+00, 2.91e+00, 3.40e+01, 0.00e+00, 1.02e-02, 1.86e-03
   8, 0.00e+00, 4.60e+00, 1.12e+02, 0.00e+00, 1.02e-02, 1.84e-03
  16, 0.00e+00, 8.53e+00, 5.03e+02, 0.00e+00,      nan,      nan
  32, 0.00e+00, 1.96e+01, 1.70e+03, 0.00e+00,      nan,      nan
  64, 0.00e+00, 3.69e+01, 8.23e+03, 0.00e+00,      nan,      nan

# fftisdf-yang-10-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.66e+02, 3.00e-02, 3.00e-02, 1.10e-02, 8.91e-01, 1.97e-01
   4, 2.68e+02, 7.00e-02, 3.60e-01, 2.21e-02, 8.24e-01, 2.69e-01
   8, 5.07e+02, 1.40e-01, 2.00e-01, 4.42e-02, 8.41e-01, 3.21e-01
  16, 1.02e+03, 2.80e-01, 1.80e-01, 8.83e-02,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-10-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.28e+00, 6.00e-02, 3.00e-02, 1.10e-02, 9.04e-01, 1.98e-01
   4, 3.57e+00, 8.00e-02, 4.00e-02, 2.21e-02, 8.45e-01, 2.70e-01
   8, 6.19e+00, 1.30e-01, 9.00e-02, 4.42e-02, 8.58e-01, 3.21e-01
  16, 3.58e+01, 2.60e-01, 1.70e-01, 8.83e-02,      nan,      nan
  32, 1.47e+02, 5.50e-01, 1.31e+00, 1.77e-01,      nan,      nan
  64, 4.35e+02, 1.06e+00, 7.30e-01, 3.53e-01,      nan,      nan

# fftisdf-yang-10-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.13e+00, 5.00e-02, 2.00e-02, 1.10e-02, 8.92e-01, 1.96e-01
   4, 5.33e+00, 8.00e-02, 4.00e-02, 2.21e-02, 8.25e-01, 2.69e-01
   8, 3.12e+01, 1.50e-01, 4.20e-01, 4.42e-02, 8.42e-01, 3.21e-01
  16, 2.84e+01, 2.30e-01, 1.80e-01, 8.83e-02,      nan,      nan
  32, 8.79e+01, 5.40e-01, 3.70e-01, 1.77e-01,      nan,      nan
  64, 2.41e+02, 1.09e+00, 2.60e+00, 3.53e-01,      nan,      nan

# fftisdf-yang-20-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.23e+02, 7.00e-02, 8.00e-02, 4.22e-02, 1.19e-01, 4.13e-02
   4, 4.48e+02, 1.30e-01, 1.60e-01, 8.43e-02, 1.27e-01, 5.66e-02
   8, 9.93e+02, 3.10e-01, 3.80e-01, 1.69e-01, 2.91e-01, 9.05e-02
  16, 1.76e+03, 4.60e-01, 6.30e-01, 3.37e-01,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-20-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.60e+00, 9.00e-02, 9.00e-02, 4.22e-02, 3.29e-01, 8.50e-02
   4, 8.66e+00, 2.60e-01, 1.00e+00, 8.43e-02, 3.27e-01, 8.55e-02
   8, 2.88e+01, 2.50e-01, 1.92e+00, 1.69e-01, 3.82e-01, 1.06e-01
  16, 3.72e+01, 5.10e-01, 2.14e+00, 3.37e-01,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-20-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
