# fftdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 6.80e-01, 6.80e+00, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 1.34e+00, 2.56e+01, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 2.87e+00, 4.13e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 4.35e+00, 1.63e+02, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 7.93e+00, 6.31e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 1.57e+01, 2.64e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftisdf-yang-10
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.89e+00, 3.20e-01, 8.00e-02, 3.81e-02, 2.90e-02, 3.19e-02
   4, 6.09e+00, 4.60e-01, 1.40e-01, 7.61e-02, 2.76e-02, 3.46e-02
   8, 2.76e+01, 9.10e-01, 2.80e-01, 1.52e-01, 2.63e-02, 3.50e-02
  16, 3.79e+01, 1.91e+00, 5.50e-01, 3.05e-01, 2.63e-02, 3.93e-02
  32, 4.97e+01, 3.32e+00, 1.07e+00, 6.09e-01, 2.69e-02, 4.04e-02
  64, 2.40e+02, 7.34e+00, 2.17e+00, 1.22e+00, 2.63e-02, 4.09e-02

# fftisdf-yang-20
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.95e+00, 6.40e-01, 2.90e-01, 1.45e-01, 1.06e-03, 2.31e-03
   4, 1.51e+01, 9.60e-01, 5.50e-01, 2.91e-01, 1.18e-03, 2.57e-03
   8, 9.81e+01, 1.93e+00, 1.33e+00, 5.81e-01, 1.40e-03, 2.58e-03
  16, 5.01e+01, 3.19e+00, 2.11e+00, 1.16e+00, 1.40e-03, 2.88e-03
  32, 3.45e+02, 7.69e+00, 6.00e+00, 2.33e+00, 1.39e-03, 2.98e-03
  64, 4.02e+02, 1.63e+01, 9.01e+00, 4.65e+00, 1.38e-03, 3.00e-03

# fftisdf-yang-30
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.54e+01, 6.20e-01, 5.70e-01, 3.22e-01, 2.81e-05, 7.11e-05
   4, 5.70e+01, 1.45e+00, 1.54e+00, 6.44e-01, 3.54e-05, 8.77e-05
   8, 1.55e+02, 2.80e+00, 3.93e+00, 1.29e+00, 3.99e-05, 1.06e-04
  16, 1.62e+02, 5.47e+00, 4.46e+00, 2.58e+00, 3.92e-05, 1.12e-04
  32, 2.66e+02, 1.04e+01, 8.99e+00, 5.15e+00, 4.01e-05, 1.15e-04
  64, 4.88e+02, 2.26e+01, 2.02e+01, 1.03e+01, 3.96e-05, 1.18e-04

# fftisdf-yang-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.20e+01, 8.30e-01, 1.18e+00, 5.68e-01, 3.70e-06, 8.00e-06
   4, 1.67e+02, 1.86e+00, 2.73e+00, 1.14e+00, 6.39e-06, 1.04e-05
   8, 1.63e+02, 3.04e+00, 4.70e+00, 2.27e+00, 6.80e-06, 1.22e-05
  16, 3.46e+02, 6.37e+00, 9.23e+00, 4.54e+00, 6.88e-06, 1.40e-05
  32, 7.25e+02, 1.20e+01, 1.82e+01, 9.08e+00, 6.77e-06, 1.47e-05
  64, 1.35e+03, 2.49e+01, 3.66e+01, 1.82e+01, 6.80e-06, 1.48e-05

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.77e+02, 7.20e-01, 7.54e+00, 3.42e-01, 1.42e-05, 1.62e-04
   4, 2.82e+02, 7.30e-01, 2.91e+01, 1.57e+00, 1.41e-05, 1.62e-04
   8, 6.73e+02, 2.80e+00, 1.19e+02, 6.53e+00, 1.39e-05, 1.58e-04
  16, 2.05e+03, 3.46e+00, 4.81e+02, 2.65e+01, 1.39e-05, 1.66e-04
  32,      nan,      nan,      nan,      nan,     nan,     nan
  64,      nan,      nan,      nan,      nan,     nan,     nan

