# fftisdf-ning-supercell-10
# nk,    build,    get_j,    get_k,     size
   2, 3.12e+01, 6.00e-01, 1.00e-02, 2.88e-01
   4, 9.11e+01, 9.99e+00, 1.90e-01, 7.92e-01
   8, 3.12e+02, 2.30e+02, 3.07e+00, 2.43e+00
  16, 2.51e+03,      nan,      nan,      nan
  32, 1.02e+04, 1.40e+01, 4.26e+01, 2.26e+01
  64, 4.36e+04, 4.33e+01, 2.19e+02, 6.85e+01

# fftisdf-ning-supercell-20
# nk,    build,    get_j,    get_k,     size
   2, 3.46e+01, 6.20e-01, 1.00e-02, 3.40e-01
   4, 1.04e+02, 1.31e+01, 1.80e-01, 9.12e-01
   8, 3.72e+02, 2.66e+02, 3.35e+00, 2.79e+00
  16, 2.96e+03,      nan,      nan,      nan
  32, 1.24e+04, 1.38e+01, 4.87e+01, 2.65e+01
  64, 5.21e+04, 4.68e+01, 2.46e+02, 8.28e+01

# fftisdf-yang-10-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 1.35e+01, 1.00e-02, 1.00e-02, 3.61e-03
   4, 1.73e+01, 2.00e-02, 1.00e-02, 7.21e-03
   8, 2.95e+01, 6.00e-02, 8.00e-02, 1.44e-02
  16, 5.60e+01, 7.00e-02, 7.00e-02, 2.88e-02
  32, 1.08e+02, 1.10e-01, 1.50e-01, 5.77e-02
  64, 2.14e+02, 2.80e-01, 3.00e-01, 1.15e-01

# fftisdf-yang-20-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 1.59e+01, 3.00e-02, 3.00e-02, 1.38e-02
   4, 2.98e+01, 5.00e-02, 6.00e-02, 2.75e-02
   8, 5.09e+01, 5.00e-02, 1.20e-01, 5.51e-02
  16, 9.83e+01, 1.00e-01, 2.20e-01, 1.10e-01
  32, 1.99e+02, 2.10e-01, 4.60e-01, 2.20e-01
  64, 3.99e+02, 4.00e-01, 9.40e-01, 4.40e-01

# gdf
# nk,    build,    get_j,    get_k,     size
   2, 9.91e+00, 1.60e-01, 7.00e-02, 1.28e-02
   4, 1.98e+01, 1.30e-01, 1.90e-01, 5.66e-02
   8, 3.05e+01, 1.70e-01, 6.80e-01, 2.32e-01
  16, 7.34e+01, 3.00e-01, 1.94e+00, 9.33e-01
  32, 2.31e+02, 6.20e-01, 7.11e+00, 3.74e+00
  64, 1.04e+03, 3.24e+00, 1.29e+02, 1.50e+01
