# fftdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 6.00e-01, 1.10e+00, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 4.20e-01, 5.34e+00, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 9.80e-01, 2.14e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 2.01e+00, 9.12e+01, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 3.22e+00, 3.66e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 7.35e+00, 1.44e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftisdf-yang-10
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.00e-01, 1.00e-02, 1.00e-02, 3.61e-03, 3.16e-03, 8.62e-03
   4, 1.71e+00, 1.00e-02, 2.00e-02, 7.21e-03, 2.52e-03, 8.24e-03
   8, 2.88e+00, 3.00e-02, 3.00e-02, 1.44e-02, 2.53e-03, 8.19e-03
  16, 7.71e+00, 5.00e-02, 7.00e-02, 2.88e-02, 2.51e-03, 8.82e-03
  32, 4.78e+01, 1.00e-01, 1.50e-01, 5.77e-02, 2.49e-03, 9.03e-03
  64, 4.00e+01, 2.20e-01, 3.30e-01, 1.15e-01, 2.47e-03, 9.04e-03

# fftisdf-yang-20
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.66e+00, 1.00e-02, 3.00e-02, 1.38e-02, 1.27e-04, 7.19e-05
   4, 2.99e+00, 3.00e-02, 6.00e-02, 2.75e-02, 2.99e-04, 3.18e-04
   8, 1.58e+01, 5.00e-02, 1.10e-01, 5.51e-02, 4.73e-04, 2.83e-04
  16, 1.76e+01, 1.00e-01, 2.20e-01, 1.10e-01, 4.65e-04, 3.52e-04
  32, 4.30e+01, 2.10e-01, 4.80e-01, 2.20e-01, 4.63e-04, 3.72e-04
  64, 4.34e+01, 4.00e-01, 9.00e-01, 4.40e-01, 4.67e-04, 3.61e-04

# fftisdf-yang-30
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.81e+00, 2.00e-02, 3.00e-02, 1.78e-02, 7.23e-05, 7.83e-05
   4, 4.02e+00, 4.00e-02, 8.00e-02, 3.55e-02, 1.67e-04, 2.89e-04
   8, 6.28e+00, 8.00e-02, 2.90e-01, 7.10e-02, 2.57e-04, 2.62e-04
  16, 1.83e+01, 1.10e-01, 2.70e-01, 1.42e-01, 2.57e-04, 3.33e-04
  32, 4.89e+01, 2.40e-01, 5.60e-01, 2.84e-01, 2.58e-04, 3.47e-04
  64, 1.11e+02, 5.50e-01, 2.96e+00, 5.68e-01, 2.55e-04, 3.44e-04

# fftisdf-yang-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.41e+00, 3.00e-02, 1.30e-01, 5.37e-02, 7.57e-08, 5.36e-08
   4, 1.38e+01, 5.00e-02, 2.40e-01, 1.07e-01, 9.58e-06, 1.61e-05
   8, 1.75e+01, 1.00e-01, 4.50e-01, 2.15e-01, 2.14e-05, 3.45e-05
  16, 7.19e+01, 2.00e-01, 9.40e-01, 4.30e-01, 1.96e-05, 4.56e-05
  32, 1.75e+02, 4.30e-01, 2.04e+00, 8.60e-01, 2.14e-05, 5.00e-05
  64, 1.58e+02, 7.10e-01, 3.48e+00, 1.72e+00, 2.10e-05, 5.01e-05

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.50e+00, 1.40e-01, 1.00e-01, 1.28e-02, 8.50e-06, 6.13e-04
   4, 2.01e+01, 1.00e-01, 1.70e-01, 5.66e-02, 8.43e-06, 5.63e-04
   8, 3.02e+01, 2.60e-01, 5.70e-01, 2.32e-01, 8.29e-06, 5.70e-04
  16, 7.95e+01, 2.10e-01, 2.02e+00, 9.33e-01, 8.29e-06, 5.44e-04
  32, 2.23e+02, 6.20e-01, 7.23e+00, 3.74e+00, 8.29e-06, 5.29e-04
  64, 9.90e+02, 2.72e+00, 9.10e+01, 1.50e+01, 8.29e-06, 5.27e-04

