# fftdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 7.00e-02, 4.50e-01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 9.00e-02, 2.32e+00, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 1.00e-01, 1.06e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 1.00e-01, 4.72e+01, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 1.20e-01, 8.16e+01, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 5.20e-01, 3.10e+02, 0.00e+00, 0.00e+00, 0.00e+00

# fftisdf-yang-10
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 8.30e-01, 0.00e+00, 0.00e+00, 2.38e-03, 2.84e-04, 3.52e-04
   4, 1.21e+00, 1.00e-02, 1.00e-02, 4.76e-03, 4.42e-04, 5.26e-04
   8, 1.88e+00, 3.00e-02, 1.00e-02, 9.52e-03, 4.79e-04, 5.41e-04
  16, 3.13e+00, 3.00e-02, 4.00e-02, 1.90e-02, 4.75e-04, 6.71e-04
  32, 5.58e+00, 6.00e-02, 1.20e-01, 3.81e-02, 4.77e-04, 7.24e-04
  64, 1.10e+01, 1.10e-01, 2.20e-01, 7.61e-02, 4.80e-04, 8.30e-04

# fftisdf-yang-20
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.47e+00, 2.00e-02, 1.00e-02, 9.09e-03, 5.08e-06, 6.53e-06
   4, 2.31e+00, 3.00e-02, 3.00e-02, 1.82e-02, 1.57e-05, 1.67e-05
   8, 3.48e+00, 4.00e-02, 1.80e-01, 3.63e-02, 2.25e-05, 2.46e-05
  16, 1.78e+01, 6.00e-02, 1.30e-01, 7.27e-02, 2.18e-05, 3.07e-05
  32, 1.04e+01, 1.00e-01, 3.20e-01, 1.45e-01, 2.10e-05, 3.76e-05
  64, 2.06e+01, 2.20e-01, 6.20e-01, 2.91e-01, 2.40e-05, 3.25e-05

# fftisdf-yang-30
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.71e+00, 2.00e-02, 3.00e-02, 2.01e-02, 5.77e-07, 8.63e-08
   4, 2.69e+00, 2.00e-02, 6.00e-02, 4.02e-02, 7.37e-06, 7.31e-06
   8, 7.18e+00, 4.00e-02, 1.50e-01, 8.05e-02, 1.20e-05, 1.26e-05
  16, 9.04e+00, 8.00e-02, 2.90e-01, 1.61e-01, 1.20e-05, 1.64e-05
  32, 2.40e+01, 1.70e-01, 5.80e-01, 3.22e-01, 1.14e-05, 2.09e-05
  64, 3.42e+01, 3.00e-01, 1.18e+00, 6.44e-01, 1.08e-05, 2.22e-05

# fftisdf-yang-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.24e+00, 2.00e-02, 5.00e-02, 3.55e-02, 3.07e-08, 3.86e-08
   4, 4.03e+00, 3.00e-02, 1.30e-01, 7.10e-02, 2.30e-07, 1.40e-07
   8, 7.03e+00, 5.00e-02, 2.60e-01, 1.42e-01, 7.23e-07, 7.68e-07
  16, 1.29e+01, 1.00e-01, 5.10e-01, 2.84e-01, 8.09e-07, 6.82e-07
  32, 2.46e+01, 2.30e-01, 1.05e+00, 5.68e-01, 7.43e-07, 8.92e-07
  64, 5.92e+01, 4.00e-01, 2.07e+00, 1.14e+00, 7.26e-07, 7.70e-07

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.16e+02, 1.00e-01, 6.00e-02, 5.51e-03, 6.16e-07, 2.43e-05
   4, 1.21e+02, 1.10e-01, 1.70e-01, 2.52e-02, 4.68e-07, 1.73e-05
   8, 1.28e+02, 2.60e-01, 6.50e-01, 1.05e-01, 3.18e-07, 1.43e-05
  16, 2.45e+02, 2.60e-01, 2.81e+00, 4.31e-01, 3.17e-07, 1.12e-05
  32, 2.78e+02, 5.10e-01, 1.04e+01, 1.73e+00, 3.17e-07, 1.03e-05
  64, 4.09e+02, 1.21e+00, 4.33e+01, 6.91e+00, 3.17e-07, 1.01e-05

