# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 4.40e-01, 1.17e+00, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 6.10e-01, 4.91e+00, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 9.10e-01, 2.04e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 1.80e+00, 8.42e+01, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 3.20e+00, 2.53e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 6.92e+00, 1.03e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 6.00e-02, 5.20e-01, 0.00e+00, 3.29e-07, 7.33e-06
   4, 0.00e+00, 6.00e-02, 1.99e+00, 0.00e+00, 3.18e-07, 9.72e-06
   8, 0.00e+00, 1.00e-01, 1.09e+01, 0.00e+00, 3.18e-07, 1.20e-05
  16, 0.00e+00, 1.10e-01, 4.67e+01, 0.00e+00, 3.18e-07, 1.11e-05
  32, 0.00e+00, 3.00e-01, 8.43e+01, 0.00e+00, 3.17e-07, 1.02e-05
  64, 0.00e+00, 5.40e-01, 3.11e+02, 0.00e+00, 3.17e-07, 9.21e-06

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 2.30e-01, 1.02e+00, 0.00e+00, 6.12e-10, 3.28e-08
   4, 0.00e+00, 3.80e-01, 4.12e+00, 0.00e+00, 6.32e-10, 4.62e-08
   8, 0.00e+00, 4.30e-01, 1.69e+01, 0.00e+00, 6.39e-10, 5.94e-08
  16, 0.00e+00, 1.34e+00, 7.21e+01, 0.00e+00, 6.38e-10, 5.36e-08
  32, 0.00e+00, 2.11e+00, 2.16e+02, 0.00e+00, 6.37e-10, 4.79e-08
  64, 0.00e+00, 5.12e+00, 9.21e+02, 0.00e+00, 6.37e-10, 4.22e-08

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.78e+00, 2.00e-02, 7.00e-02, 3.55e-02, 6.70e-07, 1.05e-06
   4, 9.28e+00, 3.00e-02, 7.50e-01, 7.10e-02, 8.60e-07, 1.57e-06
   8, 1.30e+01, 5.00e-02, 2.60e-01, 1.42e-01, 9.80e-07, 2.16e-06
  16, 2.16e+01, 1.20e-01, 1.41e+00, 2.84e-01, 1.24e-06, 2.20e-06
  32, 7.09e+01, 2.10e-01, 2.66e+00, 5.68e-01, 1.22e-06, 2.11e-06
  64, 8.88e+01, 4.00e-01, 2.02e+00, 1.14e+00, 1.04e-06, 1.43e-06

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.46e+00, 3.00e-02, 1.30e-01, 3.55e-02, 6.73e-07, 8.34e-06
   4, 4.70e+00, 3.00e-02, 1.50e-01, 7.10e-02, 8.73e-07, 1.12e-05
   8, 6.77e+00, 5.00e-02, 2.60e-01, 1.42e-01, 9.45e-07, 1.37e-05
  16, 1.30e+01, 1.00e-01, 5.30e-01, 2.84e-01, 1.21e-06, 1.31e-05
  32, 2.67e+01, 2.10e-01, 1.05e+00, 5.68e-01, 1.19e-06, 1.20e-05
  64, 5.95e+01, 3.90e-01, 2.09e+00, 1.14e+00, 1.02e-06, 1.06e-05

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.93e+00, 2.00e-02, 7.00e-02, 3.55e-02, 6.70e-07, 1.06e-06
   4, 2.12e+01, 3.00e-02, 1.30e-01, 7.10e-02, 8.60e-07, 1.58e-06
   8, 1.16e+01, 5.00e-02, 2.50e-01, 1.42e-01, 9.80e-07, 2.17e-06
  16, 2.17e+01, 1.10e-01, 5.40e-01, 2.84e-01, 1.24e-06, 2.20e-06
  32, 7.22e+01, 2.20e-01, 1.06e+00, 5.68e-01, 1.22e-06, 2.11e-06
  64, 2.11e+02, 3.90e-01, 2.06e+00, 1.14e+00, 1.04e-06, 1.47e-06

# fftisdf-yang-60-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.97e+00, 2.00e-02, 9.00e-02, 5.32e-02, 5.78e-07, 1.01e-06
