# fftdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.00e-01, 2.20e-01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 5.00e-02, 1.08e+00, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 6.00e-02, 4.01e+00, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 7.00e-02, 1.42e+01, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 9.00e-02, 5.28e+01, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 1.00e-01, 1.93e+02, 0.00e+00, 0.00e+00, 0.00e+00

# fftisdf-yang-10
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.90e-01, 0.00e+00, 0.00e+00, 2.29e-04, 5.42e-09, 1.88e-06
   4, 6.10e-01, 0.00e+00, 0.00e+00, 4.55e-04, 9.77e-04, 1.22e-03
   8, 8.90e-01, 0.00e+00, 0.00e+00, 9.05e-04, 2.13e-03, 2.57e-03
  16, 1.53e+00, 0.00e+00, 1.00e-02, 1.81e-03, 2.13e-03, 2.65e-03
  32, 2.58e+00, 0.00e+00, 1.00e-02, 3.61e-03, 2.11e-03, 3.54e-03
  64, 3.89e+00, 1.00e-02, 1.00e-02, 7.21e-03, 2.01e-03, 3.29e-03

# fftisdf-yang-20
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.40e-01, 0.00e+00, 0.00e+00, 6.31e-04, 3.22e-13, 2.01e-12
   4, 9.50e-01, 0.00e+00, 0.00e+00, 1.72e-03, 5.30e-08, 2.70e-07
   8, 1.19e+00, 0.00e+00, 1.00e-02, 3.44e-03, 4.69e-04, 3.22e-04
  16, 1.91e+00, 0.00e+00, 1.00e-02, 6.89e-03, 3.90e-04, 4.19e-04
  32, 3.23e+00, 1.00e-02, 2.00e-02, 1.38e-02, 4.48e-04, 5.47e-04
  64, 5.63e+00, 2.00e-02, 5.00e-02, 2.75e-02, 4.48e-04, 5.73e-04

# fftisdf-yang-30
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.80e-01, 0.00e+00, 0.00e+00, 6.58e-04, 1.44e-13, 7.04e-12
   4, 1.14e+00, 0.00e+00, 1.00e-02, 3.81e-03, 5.23e-11, 1.81e-09
   8, 2.03e+00, 0.00e+00, 1.00e-02, 7.62e-03, 7.13e-06, 3.09e-06
  16, 2.88e+00, 1.00e-02, 3.00e-02, 1.52e-02, 8.89e-06, 2.52e-05
  32, 5.26e+00, 1.00e-02, 6.00e-02, 3.05e-02, 1.14e-05, 2.42e-05
  64, 1.03e+01, 1.00e-02, 1.80e-01, 6.10e-02, 1.12e-05, 2.71e-05

# fftisdf-yang-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.20e-01, 0.00e+00, 0.00e+00, 6.58e-04, 1.44e-13, 7.04e-12
   4, 1.35e+00, 0.00e+00, 1.00e-02, 6.72e-03, 2.82e-11, 9.92e-10
   8, 2.01e+00, 0.00e+00, 2.00e-02, 1.34e-02, 7.33e-09, 2.35e-08
  16, 3.33e+00, 1.00e-02, 5.00e-02, 2.69e-02, 3.06e-06, 1.69e-06
  32, 6.38e+00, 2.00e-02, 1.40e-01, 5.37e-02, 2.44e-06, 3.16e-06
  64, 1.24e+01, 3.00e-02, 2.90e-01, 1.07e-01, 2.87e-06, 5.01e-06

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.76e+00, 8.00e-02, 6.00e-02, 2.30e-04, 5.44e-06, 1.32e-03
   4, 9.60e+00, 1.00e-01, 1.20e-01, 9.93e-04, 3.81e-06, 1.04e-03
   8, 1.07e+01, 2.20e-01, 4.10e-01, 4.05e-03, 3.38e-07, 8.25e-04
  16, 1.48e+01, 2.70e-01, 1.55e+00, 1.63e-02, 3.52e-07, 7.42e-04
  32, 2.55e+01, 4.20e-01, 7.78e+00, 6.51e-02, 3.37e-07, 6.84e-04
  64, 6.17e+01, 6.80e-01, 2.51e+01, 2.60e-01, 3.20e-07, 6.40e-04

