# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 9.00e-02, 3.80e-01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 1.40e-01, 2.23e+00, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 1.00e-01, 7.02e+00, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 1.20e-01, 2.29e+01, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 1.50e-01, 1.01e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 2.10e-01, 3.83e+02, 0.00e+00, 0.00e+00, 0.00e+00

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 9.00e-02, 2.70e-01, 0.00e+00, 1.84e-07, 4.17e-06
   4, 0.00e+00, 1.00e-01, 1.44e+00, 0.00e+00, 1.80e-07, 4.98e-06
   8, 0.00e+00, 1.00e-01, 4.23e+00, 0.00e+00, 1.84e-07, 5.78e-06
  16, 0.00e+00, 7.00e-02, 1.52e+01, 0.00e+00, 1.84e-07, 4.80e-06
  32, 0.00e+00, 9.00e-02, 5.53e+01, 0.00e+00, 1.83e-07, 4.50e-06
  64, 0.00e+00, 1.10e-01, 1.94e+02, 0.00e+00, 1.83e-07, 4.21e-06

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 7.00e-02, 2.70e-01, 0.00e+00, 4.81e-10, 2.51e-08
   4, 0.00e+00, 1.20e-01, 2.03e+00, 0.00e+00, 5.03e-10, 2.97e-08
   8, 0.00e+00, 8.00e-02, 5.14e+00, 0.00e+00, 5.15e-10, 3.40e-08
  16, 0.00e+00, 1.00e-01, 1.89e+01, 0.00e+00, 5.14e-10, 2.79e-08
  32, 0.00e+00, 1.20e-01, 7.34e+01, 0.00e+00, 5.14e-10, 2.61e-08
  64, 0.00e+00, 1.60e-01, 2.87e+02, 0.00e+00, 5.14e-10, 2.44e-08

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.40e-01, 0.00e+00, 0.00e+00, 6.58e-04, 1.40e-05, 8.72e-05
   4, 1.96e+00, 0.00e+00, 1.00e-02, 6.72e-03, 2.53e-06, 2.17e-05
   8, 3.97e+00, 1.00e-02, 3.00e-02, 1.34e-02, 1.32e-05, 2.56e-05
  16, 7.20e+00, 2.00e-02, 7.00e-02, 2.69e-02, 6.57e-06, 1.76e-05
  32, 1.46e+01, 2.00e-02, 1.30e-01, 5.37e-02, 7.39e-06, 1.53e-05
  64, 1.22e+02, 3.00e-02, 3.40e-01, 1.07e-01, 6.04e-06, 1.42e-05

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.50e-01, 0.00e+00, 0.00e+00, 6.58e-04, 1.40e-05, 8.85e-05
   4, 1.69e+00, 0.00e+00, 2.00e-02, 6.72e-03, 2.58e-06, 2.42e-05
   8, 2.04e+00, 2.00e-02, 5.00e-02, 1.34e-02, 1.31e-05, 3.13e-05
  16, 3.56e+00, 1.00e-02, 5.00e-02, 2.69e-02, 6.53e-06, 2.23e-05
  32, 6.26e+00, 1.00e-02, 1.40e-01, 5.37e-02, 7.23e-06, 1.78e-05
  64, 1.41e+01, 2.00e-02, 2.80e-01, 1.07e-01, 6.01e-06, 1.84e-05

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 8.10e-01, 0.00e+00, 0.00e+00, 6.58e-04, 1.40e-05, 8.72e-05
   4, 1.70e+00, 0.00e+00, 1.00e-02, 6.72e-03, 2.53e-06, 2.17e-05
   8, 3.23e+00, 1.00e-02, 3.00e-02, 1.34e-02, 1.32e-05, 2.56e-05
  16, 5.70e+00, 1.00e-02, 6.00e-02, 2.69e-02, 6.57e-06, 1.76e-05
  32, 1.06e+01, 2.00e-02, 1.30e-01, 5.37e-02, 7.39e-06, 1.53e-05
  64, 2.41e+01, 2.00e-02, 2.80e-01, 1.07e-01, 6.04e-06, 1.43e-05

# fftisdf-yang-60-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 7.80e-01, 0.00e+00, 0.00e+00, 6.58e-04, 1.40e-05, 8.72e-05
   4, 2.70e+00, 0.00e+00, 3.00e-02, 1.50e-02, 1.71e-06, 1.35e-05
   8, 5.02e+00, 1.00e-02, 5.00e-02, 3.00e-02, 2.76e-06, 1.19e-05
  16, 2.22e+01, 1.00e-02, 1.30e-01, 6.00e-02, 2.52e-06, 1.37e-05
