# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 6.54e+00, 8.99e+03, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 1.34e+01,      nan,      nan,      nan,      nan
   8, 0.00e+00, 2.75e+01,      nan,      nan,      nan,      nan
  16, 0.00e+00, 5.56e+01,      nan,      nan,      nan,      nan
  32, 0.00e+00, 1.13e+02,      nan,      nan,      nan,      nan
  64, 0.00e+00, 2.23e+02,      nan,      nan,      nan,      nan

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.26e+00, 2.48e+01, 0.00e+00, 4.92e-01, 1.04e-01
   4, 0.00e+00, 2.29e+00, 9.42e+01, 0.00e+00,      nan,      nan
   8, 0.00e+00, 3.65e+00, 1.31e+02, 0.00e+00,      nan,      nan
  16, 2.00e-02, 6.71e+00, 5.73e+02, 0.00e+00,      nan,      nan
  32, 1.00e-02, 1.34e+01, 1.97e+03, 0.00e+00,      nan,      nan
  64, 0.00e+00, 2.55e+01, 7.86e+03, 0.00e+00,      nan,      nan

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 3.24e+00, 5.40e+01, 0.00e+00, 1.26e-02, 4.52e-03
   4, 0.00e+00, 5.71e+00, 2.01e+02, 0.00e+00,      nan,      nan
   8, 0.00e+00, 1.32e+01, 2.85e+02, 0.00e+00,      nan,      nan
  16, 0.00e+00, 2.63e+01, 1.13e+03, 0.00e+00,      nan,      nan
  32, 0.00e+00, 5.15e+01, 4.35e+03, 0.00e+00,      nan,      nan
  64, 0.00e+00, 9.56e+01, 1.76e+04, 0.00e+00,      nan,      nan

# fftisdf-yang-10-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.00e+02, 7.10e-01, 5.50e-01, 6.33e-02, 5.26e+00, 1.82e+00
   4, 6.64e+02, 1.45e+00, 2.60e-01, 1.27e-01,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-10-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.79e+00, 7.50e-01, 1.40e-01, 6.33e-02, 5.39e+00, 1.83e+00
   4, 9.59e+00, 1.38e+00, 2.40e-01, 1.27e-01,      nan,      nan
   8, 3.18e+01, 2.27e+00, 4.50e-01, 2.53e-01,      nan,      nan
  16, 9.63e+01, 5.31e+00, 9.20e-01, 5.07e-01,      nan,      nan
  32, 1.20e+02, 9.52e+00, 1.80e+00, 1.01e+00,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-10-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.88e+00, 7.30e-01, 1.10e-01, 6.33e-02, 5.27e+00, 1.81e+00
   4, 2.11e+01, 1.39e+00, 2.20e-01, 1.27e-01,      nan,      nan
   8, 3.05e+01, 3.34e+00, 4.50e-01, 2.53e-01,      nan,      nan
  16, 9.02e+01, 5.94e+00, 2.41e+00, 5.07e-01,      nan,      nan
  32, 1.97e+02, 1.09e+01, 5.31e+00, 1.01e+00,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-20-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 8.47e+02, 1.73e+00, 6.90e-01, 3.27e-01, 4.88e-01, 2.65e-01
   4,      nan,      nan,      nan,      nan,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-20-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.45e+02, 1.78e+00, 2.13e+00, 3.27e-01, 5.57e-01, 2.61e-01
   4, 1.31e+02, 3.21e+00, 2.67e+00, 6.54e-01,      nan,      nan
   8, 7.21e+01, 5.13e+00, 2.30e+00, 1.31e+00,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-20-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.86e+01, 1.62e+00, 7.10e-01, 3.27e-01, 4.88e-01, 2.63e-01
   4, 1.05e+02, 3.29e+00, 2.56e+00, 6.54e-01,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-30-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.78e+02, 2.11e+00, 1.24e+00, 7.24e-01, 3.39e-01, 1.00e-01
   4,      nan,      nan,      nan,      nan,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-30-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.44e+02, 2.47e+00, 1.55e+00, 7.24e-01, 5.00e-01, 1.05e-01
   4, 9.70e+01, 4.35e+00, 2.54e+00, 1.45e+00,      nan,      nan
   8, 2.82e+02, 9.03e+00, 4.86e+00, 2.90e+00,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-30-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.69e+02, 2.42e+00, 3.00e+00, 7.24e-01, 3.39e-01, 1.01e-01
   4, 2.28e+02, 4.93e+00, 4.67e+00, 1.45e+00,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.61e+03, 3.38e+00, 2.74e+00, 1.28e+00, 9.95e-02, 2.40e-02
   4,      nan,      nan,      nan,      nan,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.16e+02, 2.82e+00, 2.54e+00, 1.28e+00, 5.00e-01, 1.04e-01
   4, 4.89e+02, 6.44e+00, 1.05e+01, 2.55e+00,      nan,      nan
   8, 1.14e+03, 1.43e+01, 1.43e+01, 5.11e+00,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.05e+02, 3.42e+00, 2.75e+00, 1.28e+00, 1.00e-01, 2.54e-02
   4, 7.01e+02, 6.26e+00, 5.64e+00, 2.55e+00,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.52e+02, 1.43e+00, 2.92e+01, 1.15e+00, 7.97e-04, 5.51e-04
   4, 3.59e+02, 2.82e+00, 1.19e+02, 5.10e+00,      nan,      nan
   8,      nan,      nan,      nan,      nan,      nan,      nan
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

