# fftisdf-ning-supercell-10
# nk,    build,    get_j,    get_k,     size
   2, 4.98e+01, 5.27e+00, 1.00e-02, 5.12e-01
   4, 2.40e+02, 1.89e+02, 1.00e-01, 1.54e+00
   8, 8.97e+02, 8.19e+03, 1.53e+00, 5.14e+00
  16, 1.81e+03, 2.19e+01, 2.07e+01, 1.35e+01
  32, 6.98e+03, 6.17e+01, 1.19e+02, 3.58e+01
  64, 1.98e+04, 1.61e+02, 5.47e+02, 9.58e+01

# fftisdf-ning-supercell-20
# nk,    build,    get_j,    get_k,     size
   2, 6.93e+01, 8.20e+00, 1.00e-02, 5.46e-01
   4, 2.17e+02, 1.58e+02, 6.00e-02, 1.63e+00
   8, 8.55e+02, 5.40e+03, 8.30e-01, 5.34e+00
  16, 2.06e+03, 1.78e+01, 2.41e+01, 1.40e+01
  32, 6.89e+03, 6.38e+01, 1.32e+02, 3.76e+01
  64, 2.29e+04, 1.71e+02, 6.95e+02, 1.02e+02

# fftisdf-yang-10-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 2.15e+02, 5.00e-02, 4.00e-02, 1.10e-02
   4, 4.25e+02, 8.00e-02, 4.00e-02, 2.21e-02
   8, 8.57e+02, 1.40e-01, 1.10e-01, 4.42e-02
  16, 1.74e+03, 2.50e-01, 1.90e-01, 8.83e-02
  32, 3.50e+03, 4.70e-01, 6.60e-01, 1.77e-01
  64, 7.07e+03, 1.09e+00, 2.12e+00, 3.53e-01

# fftisdf-yang-20-21-21-21
# nk,    build,    get_j,    get_k,     size
   2, 4.33e+02, 8.00e-02, 8.00e-02, 4.22e-02
   4, 8.65e+02, 1.30e-01, 7.00e-01, 8.43e-02
   8, 1.73e+03, 3.00e-01, 3.10e-01, 1.69e-01
  16, 3.44e+03, 4.80e-01, 6.20e-01, 3.37e-01
  32, 7.04e+03, 9.00e-01, 1.23e+00, 6.74e-01
  64, 1.40e+04, 1.82e+00, 2.41e+00, 1.35e+00

# gdf
# nk,    build,    get_j,    get_k,     size
   2, 4.34e+01, 1.60e-01, 1.10e+00, 8.51e-02
   4, 1.04e+02, 2.50e-01, 6.92e+00, 3.77e-01
   8, 3.19e+02, 3.50e-01, 3.11e+01, 1.54e+00
  16, 5.41e+02, 2.35e+00, 1.28e+02, 6.21e+00
  32, 2.04e+03, 5.03e+00, 5.77e+02, 2.49e+01
  64, 8.75e+03, 9.61e+00, 2.36e+03, 9.96e+01
