# fftdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 6.50e-01, 3.63e+00, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 1.14e+00, 1.45e+01, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 1.96e+00, 5.25e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 3.48e+00, 2.06e+02, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 7.15e+00, 8.73e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 1.37e+01, 3.30e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftisdf-yang-10
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.01e+00, 4.00e-02, 2.00e-02, 1.10e-02, 7.82e-01, 2.82e-01
   4, 3.59e+00, 8.00e-02, 5.00e-02, 2.21e-02, 8.44e-01, 2.88e-01
   8, 2.78e+01, 1.30e-01, 1.00e-01, 4.42e-02, 1.16e+00, 3.17e-01
  16, 1.25e+01, 2.40e-01, 1.70e-01, 8.83e-02, 1.16e+00, 3.28e-01
  32, 3.34e+01, 4.80e-01, 3.80e-01, 1.77e-01, 1.16e+00, 3.28e-01
  64, 1.11e+02, 9.00e-01, 7.30e-01, 3.53e-01, 1.16e+00, 3.21e-01

# fftisdf-yang-20
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.62e+00, 7.00e-02, 8.00e-02, 4.22e-02, 1.08e-01, 4.93e-02
   4, 7.53e+00, 1.40e-01, 1.80e-01, 8.43e-02, 1.50e-01, 6.12e-02
   8, 1.32e+01, 2.60e-01, 3.10e-01, 1.69e-01, 1.54e-01, 7.14e-02
  16, 3.86e+01, 4.60e-01, 6.10e-01, 3.37e-01, 1.54e-01, 7.33e-02
  32, 5.70e+01, 9.00e-01, 1.21e+00, 6.74e-01, 1.54e-01, 7.38e-02
  64, 2.77e+02, 2.08e+00, 4.09e+00, 1.35e+00, 1.54e-01, 7.37e-02

# fftisdf-yang-30
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.35e+00, 9.00e-02, 1.00e-01, 5.91e-02, 8.37e-02, 3.40e-02
   4, 9.34e+00, 1.60e-01, 2.40e-01, 1.18e-01, 9.48e-02, 4.07e-02
   8, 4.00e+01, 3.00e-01, 4.10e-01, 2.36e-01, 1.13e-01, 4.15e-02
  16, 3.29e+01, 8.00e-01, 9.20e-01, 4.73e-01, 1.13e-01, 4.23e-02
  32, 1.53e+02, 1.23e+00, 1.68e+00, 9.45e-01, 1.13e-01, 4.23e-02
  64, 1.69e+02, 2.07e+00, 1.36e+01, 1.89e+00, 1.13e-01, 4.20e-02

# fftisdf-yang-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 8.56e+00, 1.20e-01, 2.80e-01, 1.58e-01, 1.88e-02, 2.67e-03
   4, 4.91e+01, 3.20e-01, 8.30e-01, 3.17e-01, 2.55e-02, 7.62e-03
   8, 6.34e+01, 5.20e-01, 1.11e+00, 6.34e-01, 4.50e-02, 9.64e-03
  16, 1.66e+02, 1.01e+00, 2.22e+00, 1.27e+00, 4.63e-02, 1.00e-02
  32, 1.45e+02, 1.69e+00, 4.26e+00, 2.53e+00, 4.75e-02, 1.01e-02
  64, 2.55e+02, 4.05e+00, 8.74e+00, 5.07e+00, 4.87e-02, 9.90e-03

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.53e+01, 1.50e-01, 1.30e+00, 8.51e-02, 3.15e-01, 7.97e-02
   4, 1.08e+02, 2.40e-01, 7.50e+00, 3.77e-01, 3.15e-01, 8.17e-02
   8, 3.24e+02, 5.40e-01, 3.14e+01, 1.54e+00, 3.15e-01, 8.11e-02
  16, 5.54e+02, 1.49e+00, 1.29e+02, 6.21e+00, 3.15e-01, 8.65e-02
  32, 2.16e+03, 3.73e+00, 5.98e+02, 2.49e+01, 3.15e-01, 8.83e-02
  64,      nan,      nan,      nan,      nan,     nan,     nan

