# fftdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 3.60e-01, 1.68e+01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 6.10e-01, 7.07e+01, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 1.08e+00, 9.95e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 1.93e+00, 3.94e+02, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 3.82e+00, 1.61e+03, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 6.38e+00, 6.27e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftisdf-yang-10
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.17e+00, 1.00e-02, 1.00e-02, 5.36e-03, 6.06e-01, 3.44e-01
   4, 6.08e+00, 4.00e-02, 1.00e-02, 1.07e-02, 6.13e-01, 3.67e-01
   8, 1.28e+01, 5.00e-02, 3.00e-02, 2.14e-02, 6.54e-01, 3.98e-01
  16, 5.32e+01, 9.00e-02, 9.00e-02, 4.28e-02, 6.77e-01, 4.24e-01
  32, 8.18e+01, 1.70e-01, 1.90e-01, 8.57e-02, 6.31e-01, 4.15e-01
  64, 3.20e+02, 3.90e-01, 4.80e-01, 1.71e-01, 6.35e-01, 4.17e-01

# fftisdf-yang-20
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.76e+00, 4.00e-02, 3.00e-02, 2.04e-02, 8.17e-02, 2.51e-02
   4, 1.21e+01, 6.00e-02, 7.00e-02, 4.09e-02, 1.47e-01, 4.99e-02
   8, 2.89e+01, 9.00e-02, 1.50e-01, 8.18e-02, 1.72e-01, 6.35e-02
  16, 5.13e+01, 1.70e-01, 2.90e-01, 1.64e-01, 1.96e-01, 6.78e-02
  32, 1.37e+02, 3.30e-01, 6.00e-01, 3.27e-01, 2.08e-01, 6.97e-02
  64, 2.41e+02, 6.30e-01, 1.25e+00, 6.54e-01, 2.11e-01, 7.42e-02

# fftisdf-yang-30
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.12e+01, 4.00e-02, 8.00e-02, 4.53e-02, 1.11e-02, 4.79e-03
   4, 2.23e+01, 6.00e-02, 1.50e-01, 9.05e-02, 2.93e-02, 1.34e-02
   8, 3.79e+01, 1.20e-01, 3.10e-01, 1.81e-01, 3.58e-02, 1.70e-02
  16, 1.70e+02, 2.80e-01, 7.00e-01, 3.62e-01, 3.74e-02, 1.89e-02
  32, 1.45e+02, 4.80e-01, 1.26e+00, 7.24e-01, 3.65e-02, 1.88e-02
  64, 3.61e+02, 9.10e-01, 2.46e+00, 1.45e+00, 3.68e-02, 1.93e-02

# fftisdf-yang-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.34e+01, 5.00e-02, 1.50e-01, 7.98e-02, 1.14e-02, 1.93e-03
   4, 2.31e+01, 8.00e-02, 2.90e-01, 1.60e-01, 1.31e-02, 6.50e-03
   8, 4.88e+01, 2.00e-01, 9.70e-01, 3.19e-01, 1.94e-02, 9.33e-03
  16, 1.02e+02, 3.30e-01, 1.09e+00, 6.39e-01, 2.02e-02, 1.05e-02
  32, 1.89e+02, 6.30e-01, 2.28e+00, 1.28e+00, 2.13e-02, 1.08e-02
  64, 8.49e+02, 1.43e+00, 4.95e+00, 2.55e+00, 2.03e-02, 1.09e-02

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2,      nan,      nan,      nan,      nan, 3.97e-02, 7.60e-03
   4, 5.72e+02, 1.70e-01, 2.70e-01, 1.00e-01, 3.95e-02, 8.05e-03
   8, 5.92e+02, 2.20e-01, 1.03e+00, 4.11e-01, 3.93e-02, 8.49e-03
  16, 6.51e+02, 5.20e-01, 4.32e+00, 1.65e+00, 3.93e-02, 8.02e-03
  32, 1.13e+03, 9.00e-01, 1.79e+01, 6.62e+00, 3.93e-02, 7.82e-03
  64, 1.39e+03, 2.47e+00, 1.10e+02, 2.65e+01, 3.93e-02, 7.61e-03

