# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 7.80e-01, 8.33e+01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 1.45e+00, 3.28e+02, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 2.70e+00, 4.55e+02, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 4.47e+00, 1.81e+03, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 8.11e+00, 7.20e+03, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 1.77e+01, 2.91e+04, 0.00e+00, 0.00e+00, 0.00e+00

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 2.20e-01, 1.74e+01, 0.00e+00, 5.72e-02, 8.55e-03
   4, 0.00e+00, 6.40e-01, 6.94e+01, 0.00e+00, 5.70e-02, 9.83e-03
   8, 0.00e+00, 9.50e-01, 9.72e+01, 0.00e+00, 5.70e-02, 1.13e-02
  16, 0.00e+00, 1.79e+00, 3.83e+02, 0.00e+00, 5.70e-02, 9.23e-03
  32, 0.00e+00, 3.56e+00, 1.56e+03, 0.00e+00, 5.70e-02, 8.23e-03
  64, 0.00e+00, 6.78e+00, 6.45e+03, 0.00e+00, 5.70e-02, 7.82e-03

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 6.40e-01, 2.01e+00, 0.00e+00, 5.13e-05, 3.99e-04
   4, 0.00e+00, 9.50e-01, 7.96e+00, 0.00e+00, 5.12e-05, 4.46e-04
   8, 0.00e+00, 1.75e+00, 2.08e+01, 0.00e+00, 5.11e-05, 4.92e-04
  16, 0.00e+00, 3.22e+00, 8.95e+01, 0.00e+00, 5.11e-05, 4.24e-04
  32, 0.00e+00, 6.20e+00, 3.46e+02, 0.00e+00, 5.11e-05, 4.01e-04
  64, 0.00e+00, 1.20e+01, 1.41e+03, 0.00e+00, 5.11e-05, 3.78e-04

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.98e+01, 5.00e-02, 1.40e-01, 7.98e-02, 7.75e-02, 3.41e-02
   4, 9.32e+01, 1.00e-01, 1.06e+00, 1.60e-01, 8.70e-02, 3.89e-02
   8, 1.85e+02, 1.60e-01, 5.80e-01, 3.19e-01, 8.80e-02, 3.97e-02
