# fftdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 6.00e-02, 2.28e+00, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 5.00e-02, 9.42e+00, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 6.00e-02, 3.74e+01, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 7.00e-02, 1.49e+02, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 1.00e-01, 5.99e+02, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 5.10e-01, 2.37e+03, 0.00e+00, 0.00e+00, 0.00e+00

# fftisdf-yang-10
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.69e+00, 0.00e+00, 0.00e+00, 6.94e-04, 3.94e-01, 7.12e-02
   4, 3.20e+00, 0.00e+00, 0.00e+00, 1.38e-03, 7.48e-01, 1.76e-01
   8, 6.89e+00, 0.00e+00, 1.00e-02, 2.76e-03, 8.39e-01, 2.09e-01
  16, 1.18e+01, 2.00e-02, 4.00e-02, 5.52e-03, 8.45e-01, 2.19e-01
  32, 2.44e+01, 1.00e-02, 1.40e-01, 1.10e-02, 8.39e-01, 2.28e-01
  64, 5.34e+01, 3.00e-02, 1.10e-01, 2.21e-02, 8.45e-01, 2.30e-01

# fftisdf-yang-20
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.62e+00, 0.00e+00, 1.00e-02, 2.64e-03, 6.06e-04, 1.02e-04
   4, 4.68e+00, 0.00e+00, 1.00e-02, 5.27e-03, 3.64e-02, 7.09e-03
   8, 1.28e+01, 2.00e-02, 2.00e-02, 1.05e-02, 7.69e-02, 2.76e-02
  16, 2.64e+01, 2.00e-02, 3.00e-02, 2.11e-02, 8.50e-02, 3.15e-02
  32, 7.42e+01, 3.00e-02, 9.00e-02, 4.22e-02, 8.08e-02, 3.25e-02
  64, 1.31e+02, 4.00e-02, 2.40e-01, 8.43e-02, 1.15e-01, 3.63e-02

# fftisdf-yang-30
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.47e+00, 0.00e+00, 1.00e-02, 5.46e-03, 2.85e-03, 4.39e-04
   4, 6.41e+00, 1.00e-02, 2.00e-02, 1.17e-02, 2.02e-03, 4.67e-04
   8, 1.64e+01, 2.00e-02, 3.00e-02, 2.33e-02, 4.17e-02, 7.28e-03
  16, 5.67e+01, 3.00e-02, 6.00e-02, 4.67e-02, 4.29e-02, 8.45e-03
  32, 9.01e+01, 3.00e-02, 2.00e-01, 9.33e-02, 4.67e-02, 9.55e-03
  64, 1.95e+02, 5.00e-02, 4.20e-01, 1.87e-01, 7.71e-02, 1.06e-02

# fftisdf-yang-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.54e+00, 0.00e+00, 1.00e-02, 5.59e-03, 1.39e-04, 2.12e-05
   4, 8.34e+00, 2.00e-02, 4.00e-02, 2.06e-02, 1.25e-04, 2.60e-05
   8, 2.54e+01, 2.00e-02, 8.00e-02, 4.11e-02, 3.77e-03, 2.71e-04
  16, 4.53e+01, 3.00e-02, 1.70e-01, 8.23e-02, 5.50e-03, 6.07e-04
  32, 1.03e+02, 4.00e-02, 3.50e-01, 1.65e-01, 5.20e-03, 1.06e-03
  64, 1.75e+02, 7.00e-02, 7.50e-01, 3.29e-01, 8.84e-03, 1.32e-03

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.55e+01, 7.00e-02, 7.00e-02, 1.41e-03, 3.96e-02, 7.59e-03
   4, 3.85e+01, 1.30e-01, 1.00e-01, 6.23e-03, 3.95e-02, 8.03e-03
   8, 6.37e+01, 2.20e-01, 3.80e-01, 2.55e-02, 3.94e-02, 8.47e-03
  16, 7.19e+01, 2.00e-01, 1.31e+00, 1.03e-01, 3.94e-02, 8.00e-03
  32, 9.23e+01, 3.70e-01, 4.22e+00, 4.11e-01, 3.94e-02, 7.80e-03
  64, 2.09e+02, 5.80e-01, 1.23e+01, 1.64e+00, 3.94e-02, 7.60e-03

