# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 2.90e-01, 1.17e+01, 0.00e+00, 0.00e+00, 0.00e+00
   4, 0.00e+00, 4.30e-01, 4.44e+01, 0.00e+00, 0.00e+00, 0.00e+00
   8, 0.00e+00, 5.10e-01, 1.63e+02, 0.00e+00, 0.00e+00, 0.00e+00
  16, 0.00e+00, 7.10e-01, 6.35e+02, 0.00e+00, 0.00e+00, 0.00e+00
  32, 0.00e+00, 1.69e+00, 2.60e+03, 0.00e+00, 0.00e+00, 0.00e+00
  64, 0.00e+00, 3.28e+00, 1.04e+04, 0.00e+00, 0.00e+00, 0.00e+00

# fftdf-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 4.00e-02, 2.49e+00, 0.00e+00, 4.13e-02, 7.79e-03
   4, 0.00e+00, 4.00e-02, 9.68e+00, 0.00e+00, 4.12e-02, 8.26e-03
   8, 0.00e+00, 5.00e-02, 3.67e+01, 0.00e+00, 4.11e-02, 8.72e-03
  16, 0.00e+00, 8.00e-02, 1.50e+02, 0.00e+00, 4.11e-02, 8.24e-03
  32, 0.00e+00, 7.00e-02, 5.90e+02, 0.00e+00, 4.11e-02, 8.03e-03
  64, 0.00e+00, 4.10e-01, 2.39e+03, 0.00e+00, 4.11e-02, 7.82e-03

# fftdf-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 0.00e+00, 1.10e-01, 6.20e-01, 0.00e+00, 3.05e-05, 2.44e-04
   4, 0.00e+00, 9.00e-02, 2.45e+00, 0.00e+00, 3.04e-05, 2.72e-04
   8, 0.00e+00, 1.30e-01, 1.09e+01, 0.00e+00, 3.04e-05, 3.00e-04
  16, 0.00e+00, 1.30e-01, 4.95e+01, 0.00e+00, 3.04e-05, 2.59e-04
  32, 0.00e+00, 1.80e-01, 1.99e+02, 0.00e+00, 3.04e-05, 2.45e-04
  64, 0.00e+00, 5.30e-01, 8.08e+02, 0.00e+00, 3.04e-05, 2.31e-04

# fftisdf-yang-10-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.12e+00, 0.00e+00, 0.00e+00, 6.94e-04, 3.30e-01, 1.22e-01
   4, 1.05e+01, 0.00e+00, 0.00e+00, 1.38e-03, 5.83e-01, 2.10e-01
   8, 2.14e+01, 0.00e+00, 1.00e-02, 2.76e-03, 6.32e-01, 2.36e-01
  16, 4.14e+01, 1.00e-02, 1.00e-02, 5.52e-03, 6.31e-01, 2.54e-01
  32, 8.34e+01, 3.00e-02, 3.00e-02, 1.10e-02, 6.30e-01, 2.60e-01
  64, 1.62e+02, 3.00e-02, 6.00e-02, 2.21e-02, 6.30e-01, 2.63e-01

# fftisdf-yang-10-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.74e+00, 0.00e+00, 0.00e+00, 6.94e-04, 3.45e-01, 1.18e-01
   4, 3.32e+00, 0.00e+00, 0.00e+00, 1.38e-03, 6.00e-01, 2.06e-01
   8, 5.55e+00, 0.00e+00, 1.00e-02, 2.76e-03, 6.48e-01, 2.32e-01
